fecha,crypto_id,open,high,low,close,volume
2025-01-03,ripple,2.4469,2.5082,2.4013,2.4116,121327240.7538069
2025-01-04,ripple,2.4116,2.4419,2.328,2.368,91275467.35984182
2025-01-05,ripple,2.368,2.4508,2.3598,2.4356,96331167.36139733
2025-01-06,ripple,2.4356,2.4679,2.279,2.3144,202422481.7224061
2025-01-07,ripple,2.3144,2.376,2.2581,2.3085,224942832.822374
2025-01-08,ripple,2.3085,2.3979,2.2004,2.3196,217838517.5833896
2025-01-09,ripple,2.3196,2.329,2.2458,2.2883,153923247.3710992
2025-01-10,ripple,2.2883,2.4363,2.2686,2.4073,122925344.8919581
2025-01-11,ripple,2.4073,2.6037,2.3973,2.5235,231649605.2216091
2025-01-12,ripple,2.5235,2.5628,2.3314,2.4661,275295611.6069679
2025-01-13,ripple,2.4661,2.6022,2.4253,2.5804,205050587.5981857
2025-01-14,ripple,2.5804,3.0275,2.5524,2.9693,348600186.6718128
2025-01-15,ripple,2.9693,3.3873,2.8727,3.3074,268036353.867221
2025-01-16,ripple,3.3074,3.4018,3.1651,3.1998,132496038.1004987
2025-01-17,ripple,3.1998,3.3172,3.0591,3.1752,101507911.8765636
2025-01-18,ripple,3.1752,3.2924,3.036,3.1482,104371630.592555
2025-01-19,ripple,3.1482,3.37,2.83,3.2725,303172437.3927416
2025-01-20,ripple,3.2725,3.3213,3.0034,3.1214,263066086.8078826
2025-01-21,ripple,3.1214,3.2606,3.118,3.1623,54454181.70698066
2025-01-22,ripple,3.1623,3.284,3.0388,3.1344,81044954.64231677
2025-01-23,ripple,3.1344,3.202,3.0548,3.1661,64217635.1283559
2025-01-24,ripple,3.1661,3.1709,3.0783,3.1405,22089574.53616487
2025-01-25,ripple,3.1405,3.1439,3.1048,3.115,15451962.96366113
2025-01-26,ripple,3.115,3.1364,2.6565,2.9565,212771579.1346237
2025-01-27,ripple,2.9565,3.213,2.8778,3.1842,92275281.55405436
2025-01-28,ripple,3.1842,3.1971,3.0135,3.065,53188636.96229872
2025-01-29,ripple,3.065,3.1543,2.9679,3.12,65791465.65055434
2025-01-30,ripple,3.12,3.1542,3.058,3.0989,28078297.97421004
2025-01-31,ripple,3.0989,3.1034,2.946,2.9734,31945561.4396515
2025-02-01,ripple,2.9734,3.0007,2.7326,2.8102,86211365.54591133
2025-02-02,ripple,2.8102,2.8106,1.7755,2.552,421237171.8234867
2025-02-03,ripple,2.552,2.786,2.4712,2.6206,206196328.7118359
2025-02-04,ripple,2.6206,2.7095,2.4205,2.502,118596834.6098505
2025-02-05,ripple,2.502,2.5083,2.285,2.3155,95536971.96427853
2025-02-06,ripple,2.3155,2.541,2.2651,2.4795,118011220.8406351
2025-02-07,ripple,2.4795,2.5084,2.3474,2.3911,75192682.67917567
2025-02-08,ripple,2.3911,2.508,2.3779,2.4285,39650109.01201513
2025-02-09,ripple,2.4285,2.472,2.3122,2.4211,70191373.5465577
2025-02-10,ripple,2.4211,2.5283,2.4083,2.4701,38941398.88340522
2025-02-11,ripple,2.4701,2.481,2.333,2.4003,54964039.77591448
2025-02-12,ripple,2.4003,2.4952,2.3795,2.4474,37719597.97793252
2025-02-13,ripple,2.4474,2.7895,2.4216,2.725,93760102.50527275
2025-02-14,ripple,2.725,2.8351,2.6918,2.78,58854734.81399869
2025-02-15,ripple,2.78,2.8043,2.7085,2.7237,20137091.87082834
2025-02-16,ripple,2.7237,2.7677,2.6357,2.6488,43218813.42870078
2025-02-17,ripple,2.6488,2.6852,2.527,2.5405,83468458.37014401
2025-02-18,ripple,2.5405,2.6315,2.4693,2.6074,105538492.174477
2025-02-19,ripple,2.6074,2.7485,2.6066,2.6732,135241738.2741247
2025-02-20,ripple,2.6732,2.7277,2.5651,2.6135,93769278.1162375
2025-02-21,ripple,2.6135,2.6462,2.5067,2.5899,113391856.9723078
2025-02-22,ripple,2.5899,2.6086,2.5195,2.5214,42520171.12959597
2025-02-23,ripple,2.5214,2.6082,2.4026,2.4302,85634135.43708655
2025-02-24,ripple,2.4302,2.4751,2.064,2.2071,337757793.1205398
2025-02-25,ripple,2.2071,2.3659,2.1722,2.2746,173402792.0798599
2025-02-26,ripple,2.2746,2.282,2.1511,2.1996,167984453.7782287
2025-02-27,ripple,2.1996,2.2375,1.9524,2.1459,228746832.0989953
2025-02-28,ripple,2.1459,2.2197,2.1149,2.151,79069497.6738575
2025-03-01,ripple,2.151,2.7073,2.1356,2.5995,183249051.9266103
2025-03-02,ripple,2.5995,2.9997,2.5275,2.5987,629555073.5482901
2025-03-03,ripple,2.5987,2.6368,2.2125,2.4029,392144579.3403746
2025-03-04,ripple,2.4029,2.5409,2.3137,2.4485,219070942.7439789
2025-03-05,ripple,2.4485,2.6456,2.4267,2.6216,138252141.7091233
2025-03-06,ripple,2.6216,2.6387,2.3749,2.5033,219200784.4877598
2025-03-07,ripple,2.5033,2.5337,2.3017,2.3513,194124997.5286433
2025-03-08,ripple,2.3513,2.3632,2.1663,2.1858,88323354.37646028
2025-03-09,ripple,2.1858,2.2605,2.0668,2.1178,209862208.7205556
2025-03-10,ripple,2.1178,2.1638,1.9,2.1351,250460764.5540745
2025-03-11,ripple,2.1351,2.2762,2.08,2.2035,168725192.8309377
2025-03-12,ripple,2.2035,2.3467,2.1882,2.2883,150334442.8420242
2025-03-13,ripple,2.2883,2.3885,2.2145,2.3575,135665589.6608874
2025-03-14,ripple,2.3575,2.4745,2.3322,2.426,79868099.36760178
2025-03-15,ripple,2.426,2.4282,2.2683,2.2965,71752893.0072803
2025-03-16,ripple,2.2965,2.3688,2.2826,2.3441,88802178.4755296
2025-03-17,ripple,2.3441,2.3781,2.2255,2.2378,73363754.53179432
2025-03-18,ripple,2.2378,2.59,2.2235,2.5535,207857021.8512198
2025-03-19,ripple,2.5535,2.5658,2.4316,2.4388,169966737.1630985
2025-03-20,ripple,2.4388,2.4664,2.3567,2.3729,77412224.09509908
2025-03-21,ripple,2.3729,2.4243,2.3626,2.3784,38480324.85574027
2025-03-22,ripple,2.3784,2.4281,2.3593,2.4137,37803248.02474225
2025-03-23,ripple,2.4137,2.5032,2.3859,2.4733,68282556.72056913
2025-03-24,ripple,2.4733,2.4768,2.407,2.4377,49899781.90411062
2025-03-25,ripple,2.4377,2.4789,2.3954,2.4052,58989378.00864674
2025-03-26,ripple,2.4052,2.4129,2.302,2.3403,68925989.23206541
2025-03-27,ripple,2.3403,2.3596,2.1746,2.1784,125043849.9203812
2025-03-28,ripple,2.1784,2.2259,2.0606,2.1066,100470457.7217123
2025-03-29,ripple,2.1066,2.2138,2.0715,2.1375,76849456.58768356
2025-03-30,ripple,2.1375,2.1702,2.0241,2.1183,127110205.3141713
2025-03-31,ripple,2.1183,2.1995,2.0652,2.1589,116877004.1481413
2025-04-01,ripple,2.1589,2.1943,2.0677,2.1719,100034041.1385941
2025-04-02,ripple,2.1719,2.2323,1.9605,2.0046,206718377.823361
2025-04-03,ripple,2.0046,2.1603,1.9913,2.1225,142815660.2888772
2025-04-04,ripple,2.1225,2.1759,2.0992,2.1223,64786500.40108137
2025-04-05,ripple,2.1223,2.1588,2.0458,2.0746,46628173.90793405
2025-04-06,ripple,2.0746,2.0751,1.6133,1.8742,544577396.1378264
2025-04-07,ripple,1.8742,1.9748,1.838,1.9047,223293348.6591279
2025-04-08,ripple,1.9047,1.9096,1.7216,1.8287,271073258.2767931
2025-04-09,ripple,1.8287,2.0892,1.824,1.9344,265124713.7121403
2025-04-10,ripple,1.9344,2.0335,1.9236,2.0013,104431595.3827377
2025-04-11,ripple,2.0013,2.1861,1.9931,2.1526,112659489.1695066
2025-04-12,ripple,2.1526,2.2468,2.1167,2.1476,123132524.7608947
2025-04-13,ripple,2.1476,2.1847,2.0813,2.1161,129180328.1412041
2025-04-14,ripple,2.1161,2.1849,2.1064,2.1348,78121045.1147222
2025-04-15,ripple,2.1348,2.1431,2.0358,2.0935,82130345.159408
2025-04-16,ripple,2.0935,2.1274,2.0473,2.0675,87667671.0247126
2025-04-17,ripple,2.0675,2.1042,2.0438,2.0587,51530401.66856536
2025-04-18,ripple,2.0587,2.097,2.0558,2.0775,37196798.65661471
2025-04-19,ripple,2.0775,2.0943,2.039,2.0489,39994778.82897167
2025-04-20,ripple,2.0489,2.1404,2.0455,2.1149,56573563.34152752
2025-04-21,ripple,2.1149,2.1921,2.0601,2.1549,81966413.42746325
2025-04-22,ripple,2.1549,2.3009,2.1404,2.2282,195366458.8061353
2025-04-23,ripple,2.2282,2.251,2.1186,2.2126,120633397.6476913
2025-04-24,ripple,2.2126,2.2277,2.1638,2.2006,99637609.2284592
2025-04-25,ripple,2.2006,2.248,2.1768,2.1998,65962742.6723886
2025-04-26,ripple,2.1998,2.2706,2.1597,2.2279,86331076.79473054
2025-04-27,ripple,2.2279,2.3618,2.216,2.2741,150331462.0786627
2025-04-28,ripple,2.2741,2.3148,2.2606,2.2925,66126610.94119182
2025-04-29,ripple,2.2925,2.3036,2.1239,2.158,99785525.10040662
2025-04-30,ripple,2.158,2.2563,2.1495,2.2365,72254655.53663933
2025-05-01,ripple,2.2365,2.2527,2.1924,2.2165,60723257.90986029
2025-05-02,ripple,2.2165,2.2358,2.1837,2.2092,38016558.70224393
2025-05-03,ripple,2.2092,2.2188,2.1723,2.1965,40530543.96006589
2025-05-04,ripple,2.1965,2.1993,2.1071,2.1154,60828982.69421182
2025-05-05,ripple,2.1154,2.1613,2.0779,2.1105,61609396.18832114
2025-05-06,ripple,2.1105,2.1714,2.1034,2.1269,48674175.52816402
2025-05-07,ripple,2.1269,2.2747,2.1039,2.244,94164747.59760518
2025-05-08,ripple,2.244,2.4286,2.2273,2.349,226224589.3301686
2025-05-09,ripple,2.349,2.4373,2.3224,2.3975,95241489.94936849
2025-05-10,ripple,2.3975,2.4835,2.3345,2.3476,129306960.4078085
2025-05-11,ripple,2.3476,2.6543,2.3288,2.5926,250766826.7188286
2025-05-12,ripple,2.5926,2.6136,2.4219,2.5429,240067615.4893349
2025-05-13,ripple,2.5429,2.65,2.535,2.5624,186874500.5307703
2025-05-14,ripple,2.5624,2.5717,2.4045,2.466,126289899.8411575
2025-05-15,ripple,2.466,2.5055,2.3474,2.4231,125031565.1631422
2025-05-16,ripple,2.4231,2.4309,2.3128,2.3327,91432237.01269026
2025-05-17,ripple,2.3327,2.4442,2.2985,2.4372,75041337.0832456
2025-05-18,ripple,2.4372,2.4489,2.2836,2.3492,134805275.1316172
2025-05-19,ripple,2.3492,2.4083,2.3207,2.3431,76097637.08358479
2025-05-20,ripple,2.3431,2.4052,2.3152,2.3987,89380362.94302633
2025-05-21,ripple,2.3987,2.4549,2.3358,2.4324,115068761.1379303
2025-05-22,ripple,2.4324,2.479,2.3014,2.3622,123837679.1141531
2025-05-23,ripple,2.3622,2.3751,2.2841,2.3517,54381733.9394814
2025-05-24,ripple,2.3517,2.3537,2.2661,2.2878,44672512.92119396
2025-05-25,ripple,2.2878,2.358,2.2721,2.3324,48578812.3785616
2025-05-26,ripple,2.3324,2.3542,2.2674,2.3374,53144126.37856607
2025-05-27,ripple,2.3374,2.3487,2.2525,2.253,49279387.0902927
